epoch,accuracy,loss,val_accuracy,val_loss
0,0.3656241297721863,1.3260517120361328,0.45821326971054077,1.2732723951339722
1,0.63935786485672,0.982949435710907,0.651296854019165,0.9257802963256836
2,0.7979518175125122,0.5700985789299011,0.6916426420211792,0.7984614968299866
3,0.8580127358436584,0.398860365152359,0.6945244669914246,0.7940722107887268
4,0.897315263748169,0.3049967586994171,0.680115282535553,0.813955545425415
5,0.9183503985404968,0.24671681225299835,0.6916426420211792,0.8892853856086731
6,0.9355106353759766,0.20007827877998352,0.6887608170509338,0.9148744940757751
7,0.9460282325744629,0.17271436750888824,0.680115282535553,0.952544629573822
8,0.9568225741386414,0.14637112617492676,0.6714697480201721,1.0645591020584106
9,0.9590368270874023,0.12982217967510223,0.6714697480201721,1.0834088325500488
10,0.9618045687675476,0.11904577910900116,0.6657060384750366,1.1306580305099487
11,0.9690008163452148,0.1054811179637909,0.6714697480201721,1.1759591102600098
12,0.9731525182723999,0.09651214629411697,0.680115282535553,1.2354410886764526
13,0.972045361995697,0.09065158665180206,0.680115282535553,1.1918457746505737
14,0.972045361995697,0.08579571545124054,0.680115282535553,1.2535293102264404
15,0.973429262638092,0.08210047334432602,0.6685879230499268,1.311058521270752
16,0.9761970639228821,0.08067493885755539,0.6772334575653076,1.2883061170578003
17,0.976473867893219,0.07351477444171906,0.6657060384750366,1.3717511892318726
18,0.9759202599525452,0.07050207257270813,0.6685879230499268,1.3239967823028564
19,0.9759202599525452,0.07114461064338684,0.6743515729904175,1.367483139038086
20,0.977027416229248,0.06536153703927994,0.6657060384750366,1.4092981815338135
21,0.9748131632804871,0.0635235384106636,0.6743515729904175,1.4381380081176758
22,0.9775809645652771,0.06267541646957397,0.680115282535553,1.443354606628418
23,0.9789648652076721,0.05559246987104416,0.6628242135047913,1.5248112678527832
24,0.9778577089309692,0.061306633055210114,0.6772334575653076,1.4974273443222046
